#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t2 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       VMIS         TRESCA       TRACE        DETER       
StressInBal      N4197    resImp   SIGM_NOEU                   4  3.96040E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  9.95956E-03  1.03904E-02 -2.55463E-02 -4.06967E-07
StressInBal      N4198    resImp   SIGM_NOEU                   4  3.96040E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  9.48193E-03  9.55023E-03 -2.79035E-02 -5.89018E-07
StressInBal      N4199    resImp   SIGM_NOEU                   4  3.96040E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  9.39769E-03  9.42348E-03 -2.85655E-02 -6.44463E-07
StressInBal      N4200    resImp   SIGM_NOEU                   4  3.96040E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  9.48187E-03  9.55017E-03 -2.79033E-02 -5.89005E-07
StressInBal      N4201    resImp   SIGM_NOEU                   4  3.96040E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  9.95943E-03  1.03903E-02 -2.55461E-02 -4.06959E-07
StressInBal      N4202    resImp   SIGM_NOEU                   4  3.96040E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  9.67595E-03  1.01004E-02 -2.48164E-02 -3.72981E-07
StressInBal      N4196    resImp   SIGM_NOEU                   5  4.95050E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  1.48363E-02  1.54870E-02 -3.80514E-02 -1.34457E-06
StressInBal      N4197    resImp   SIGM_NOEU                   5  4.95050E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  1.52706E-02  1.59313E-02 -3.91694E-02 -1.46695E-06
StressInBal      N4198    resImp   SIGM_NOEU                   5  4.95050E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  1.45383E-02  1.46430E-02 -4.27836E-02 -2.12316E-06
StressInBal      N4199    resImp   SIGM_NOEU                   5  4.95050E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  1.44092E-02  1.44487E-02 -4.37986E-02 -2.32302E-06
StressInBal      N4200    resImp   SIGM_NOEU                   5  4.95050E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  1.45382E-02  1.46430E-02 -4.27833E-02 -2.12311E-06
