#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t3 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       SIXX         SIYY         SIZZ         SIXY        
StressInBal      N4197    resImp   SIGM_NOEU                   4  3.96040E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -4.75359E-03 -1.51219E-02 -5.67080E-03 -2.85594E-04
StressInBal      N4198    resImp   SIGM_NOEU                   4  3.96040E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -6.07257E-03 -1.56180E-02 -6.21297E-03  3.00598E-05
StressInBal      N4199    resImp   SIGM_NOEU                   4  3.96040E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -6.41521E-03 -1.57831E-02 -6.36719E-03  4.03583E-08
StressInBal      N4200    resImp   SIGM_NOEU                   4  3.96040E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -6.07251E-03 -1.56179E-02 -6.21293E-03 -2.99767E-05
StressInBal      N4201    resImp   SIGM_NOEU                   4  3.96040E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -4.75358E-03 -1.51218E-02 -5.67075E-03  2.85691E-04
StressInBal      N4202    resImp   SIGM_NOEU                   4  3.96040E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -4.86029E-03 -1.44415E-02 -5.51458E-03  1.59129E-03
StressInBal      N4196    resImp   SIGM_NOEU                   5  4.95050E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -7.45236E-03 -2.21435E-02 -8.45557E-03 -2.43976E-03
StressInBal      N4197    resImp   SIGM_NOEU                   5  4.95050E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -7.28855E-03 -2.31860E-02 -8.69486E-03 -4.37890E-04
StressInBal      N4198    resImp   SIGM_NOEU                   5  4.95050E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -9.31088E-03 -2.39466E-02 -9.52615E-03  4.60893E-05
StressInBal      N4199    resImp   SIGM_NOEU                   5  4.95050E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -9.83623E-03 -2.41998E-02 -9.76260E-03  6.18853E-08
StressInBal      N4200    resImp   SIGM_NOEU                   5  4.95050E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -9.31080E-03 -2.39464E-02 -9.52609E-03 -4.59618E-05
StressInBal      N4201    resImp   SIGM_NOEU                   5  4.95050E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -7.28854E-03 -2.31857E-02 -8.69480E-03  4.38039E-04
StressInBal      N4202    resImp   SIGM_NOEU                   5  4.95050E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -7.45221E-03 -2.21428E-02 -8.45536E-03  2.43986E-03
StressInBal      N4196    resImp   SIGM_NOEU                   6  5.94059E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -1.04888E-02 -3.11656E-02 -1.19007E-02 -3.43380E-03
StressInBal      N4197    resImp   SIGM_NOEU                   6  5.94059E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -1.02582E-02 -3.26328E-02 -1.22375E-02 -6.16300E-04
StressInBal      N4198    resImp   SIGM_NOEU                   6  5.94059E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -1.31045E-02 -3.37033E-02 -1.34075E-02  6.48671E-05
StressInBal      N4199    resImp   SIGM_NOEU                   6  5.94059E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -1.38439E-02 -3.40596E-02 -1.37403E-02  8.71072E-08
StressInBal      N4200    resImp   SIGM_NOEU                   6  5.94059E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -1.31044E-02 -3.37031E-02 -1.34074E-02 -6.46877E-05
StressInBal      N4201    resImp   SIGM_NOEU                   6  5.94059E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -1.02582E-02 -3.26324E-02 -1.22374E-02  6.16510E-04
StressInBal      N4202    resImp   SIGM_NOEU                   6  5.94059E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -1.04886E-02 -3.11646E-02 -1.19004E-02  3.43395E-03
StressInBal      N4196    resImp   SIGM_NOEU                   7  6.93069E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -1.38965E-02 -4.12904E-02 -1.57670E-02 -4.54933E-03
StressInBal      N4197    resImp   SIGM_NOEU                   7  6.93069E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -1.35909E-02 -4.32342E-02 -1.62131E-02 -8.16512E-04
StressInBal      N4198    resImp   SIGM_NOEU                   7  6.93069E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -1.73617E-02 -4.46524E-02 -1.77631E-02  8.59395E-05
StressInBal      N4199    resImp   SIGM_NOEU                   7  6.93069E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -1.83413E-02 -4.51245E-02 -1.82040E-02  1.15416E-07
StressInBal      N4200    resImp   SIGM_NOEU                   7  6.93069E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -1.73616E-02 -4.46521E-02 -1.77630E-02 -8.57017E-05
StressInBal      N4201    resImp   SIGM_NOEU                   7  6.93069E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -1.35908E-02 -4.32337E-02 -1.62130E-02  8.16791E-04
StressInBal      N4202    resImp   SIGM_NOEU                   7  6.93069E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -1.38962E-02 -4.12890E-02 -1.57666E-02  4.54952E-03
StressInBal      N4196    resImp   SIGM_NOEU                   8  7.92079E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -1.75930E-02 -5.22733E-02 -1.99609E-02 -5.75939E-03
StressInBal      N4197    resImp   SIGM_NOEU                   8  7.92079E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -1.72060E-02 -5.47340E-02 -2.05256E-02 -1.03369E-03
StressInBal      N4198    resImp   SIGM_NOEU                   8  7.92079E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -2.19798E-02 -5.65295E-02 -2.24879E-02  1.08797E-04
StressInBal      N4199    resImp   SIGM_NOEU                   8  7.92079E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -2.32199E-02 -5.71272E-02 -2.30461E-02  1.46128E-07
StressInBal      N4200    resImp   SIGM_NOEU                   8  7.92079E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -2.19796E-02 -5.65291E-02 -2.24878E-02 -1.08496E-04
StressInBal      N4201    resImp   SIGM_NOEU                   8  7.92079E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -1.72060E-02 -5.47335E-02 -2.05255E-02  1.03405E-03
StressInBal      N4202    resImp   SIGM_NOEU                   8  7.92079E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -1.75927E-02 -5.22715E-02 -1.99604E-02  5.75963E-03
StressInBal      N4196    resImp   SIGM_NOEU                   9  8.91089E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -2.14892E-02 -6.38491E-02 -2.43813E-02 -7.03478E-03
StressInBal      N4197    resImp   SIGM_NOEU                   9  8.91089E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -2.10163E-02 -6.68547E-02 -2.50710E-02 -1.26259E-03
StressInBal      N4198    resImp   SIGM_NOEU                   9  8.91089E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -2.68472E-02 -6.90478E-02 -2.74678E-02  1.32889E-04
StressInBal      N4199    resImp   SIGM_NOEU                   9  8.91089E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -2.83619E-02 -6.97778E-02 -2.81496E-02  1.78505E-07
StressInBal      N4200    resImp   SIGM_NOEU                   9  8.91089E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -2.68469E-02 -6.90473E-02 -2.74676E-02 -1.32521E-04
StressInBal      N4201    resImp   SIGM_NOEU                   9  8.91089E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -2.10163E-02 -6.68540E-02 -2.50708E-02  1.26303E-03
StressInBal      N4202    resImp   SIGM_NOEU                   9  8.91089E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -2.14888E-02 -6.38470E-02 -2.43807E-02  7.03507E-03
StressInBal      N4196    resImp   SIGM_NOEU                  10  9.90099E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -2.54910E-02 -7.57385E-02 -2.89214E-02 -8.34469E-03
StressInBal      N4197    resImp   SIGM_NOEU                  10  9.90099E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -2.49299E-02 -7.93037E-02 -2.97395E-02 -1.49769E-03
StressInBal      N4198    resImp   SIGM_NOEU                  10  9.90099E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -3.18464E-02 -8.19050E-02 -3.25826E-02  1.57632E-04
StressInBal      N4199    resImp   SIGM_NOEU                  10  9.90099E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -3.36432E-02 -8.27710E-02 -3.33913E-02  2.11765E-07
StressInBal      N4200    resImp   SIGM_NOEU                  10  9.90099E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -3.18461E-02 -8.19045E-02 -3.25824E-02 -1.57196E-04
StressInBal      N4201    resImp   SIGM_NOEU                  10  9.90099E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -2.49298E-02 -7.93029E-02 -2.97393E-02  1.49820E-03
StressInBal      N4202    resImp   SIGM_NOEU                  10  9.90099E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -2.54905E-02 -7.57360E-02 -2.89207E-02  8.34505E-03
StressInBal      N4196    resImp   SIGM_NOEU                  11  1.08911E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -2.95018E-02 -8.76544E-02 -3.34717E-02 -9.65753E-03
StressInBal      N4197    resImp   SIGM_NOEU                  11  1.08911E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -2.88522E-02 -9.17804E-02 -3.44184E-02 -1.73331E-03
StressInBal      N4198    resImp   SIGM_NOEU                  11  1.08911E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -3.68568E-02 -9.47910E-02 -3.77088E-02  1.82429E-04
StressInBal      N4199    resImp   SIGM_NOEU                  11  1.08911E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -3.89362E-02 -9.57932E-02 -3.86447E-02  2.45107E-07
