113	0	-0.063	0	0	-0.068	0	0	-0.026	0	0	-0.025	0	0	0.023	0	0	0.025	0	0	0.06	0	0	0.06	0	0	0.025	0	0	0.023	0	0	-0.029	0	0	-0.028	0	0	-0.0674	0	0	-0.0688	0
124.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
341	0	-0.061	0	0	-0.078	0	0	0.005	0	0	0.003	0	0	0.066	0	0	0.07	0	0	0.012	0	0	0.011	0	0	-0.07	0	0	-0.069	0	0	-0.003	0	0	-0.005	0	0	0.074	0	0	0.075	0
363	0	-0.015	0	0	0.011	0	0	-0.01	0	0	0.012	0	0	-0.008	0	0	0.0105	0	0	-0.001	0	0	0.002	0	0	0.007	0	0	-0.01	0	0	0.009	0	0	-0.012	0	0	0.0123	0	0	-0.0122	0
386	0	-0.01	0	0	0.01	0	0	-0.01	0	0	0.011	0	0	-0.008	0	0	0.009	0	0	-0.001	0	0	0.002	0	0	0.008	0	0	-0.0078	0	0	0.009	0	0	-0.012	0	0	0.0093	0	0	-0.0102	0
658	0	-0.046	0	0	-0.072	0	0	0.028	0	0	0.027	0	0	0.043	0	0	0.04	0	0	-0.083	0	0	-0.079	0	0	0.039	0	0	0.042	0	0	0.026	0	0	0.029	0	0	-0.0644	0	0	-0.0618	0
724	0	0.0002	0	0	-0.0007	0	0	0.0031	0	0	0.0023	0	0	0.0012	0	0	0.0026	0	0	-0.0046	0	0	-0.004	0	0	0.0022	0	0	0.0013	0	0	0.00244	0	0	0.00387	0	0	-0.0019	0	0	-0.00133	0
738	0	-0.00024	0	0	-0.0003	0	0	0.00091	0	0	0.0008	0	0	0.00015	0	0	0.0004	0	0	-0.00086	0	0	-0.00086	0	0	0.00077	0	0	0.000645	0	0	0.00052	0	0	0.00054	0	0	-0.000155	0	0	0	0
1037	0	-0.029	0	0	-0.06	0	0	0.034	0	0	0.04	0	0	-0.009	0	0	-0.0165	0	0	-0.02	0	0	-0.016	0	0	0.018	0	0	0.011	0	0	-0.043	0	0	-0.041	0	0	0.0588	0	0	0.0528	0
1084	0	-0.017	0	0	0.011	0	0	-0.011	0	0	0.009	0	0	0.01	0	0	-0.01	0	0	0.031	0	0	-0.029	0	0	0.01	0	0	-0.008	0	0	-0.012	0	0	0.013	0	0	-0.0095	0	0	0.0143	0
1108	0	-0.003	0	0	0.0043	0	0	-0.003	0	0	0.002	0	0	0.002	0	0	-0.001	0	0	0.008	0	0	-0.008	0	0	0.002	0	0	-0.001	0	0	-0.003	0	0	0.0035	0	0	-0.003	0	0	0.0053	0
1488	0	-0.015	0	0	-0.051	0	0	0.031	0	0	0.029	0	0	-0.027	0	0	-0.028	0	0	0.068	0	0	0.053	0	0	-0.033	0	0	-0.041	0	0	0.029	0	0	0.034	0	0	-0.0332	0	0	-0.0348	0
