110	0	-0.063	0	0	-0.068	0	0	-0.026	0	0	-0.025	0	0	0.023	0	0	0.025	0	0	0.06	0	0	0.06	0	0	0.025	0	0	0.023	0	0	-0.029	0	0	-0.028	0	0	-0.0674	0	0	-0.0688	0
120	0.39	0.01	0.06	0.39	-0.01	-0.06	0.14	0.01	0.05	0.14	-0.01	-0.05	-0.14	0.01	0.05	-0.14	-0.01	-0.05	-0.327768894	0.009394626	8.80E-07	-0.327769098	-0.009420063	5.19E-07	-0.137334263	0.00840673	-0.045708428	-0.137336257	-0.008419516	0.04570423	0.138290148	0.007926514	-0.054818868	0.138290121	-0.007914791	0.054810155	0.385772361	0.009050625	-0.064234243	0.38577236	-0.009018065	0.064226864
328	0	-0.061	0	0	-0.078	0	0	0.005	0	0	0.003	0	0	0.066	0	0	0.07	0	0	0.012	0	0	0.011	0	0	-0.07	0	0	-0.069	0	0	-0.003	0	0	-0.005	0	0	0.074	0	0	0.075	0
348	-0.27	-0.07	-0.10	-0.27	0.07	0.10	0.10	-0.06	-0.07	0.10	0.06	0.07	0.37	-0.05	-0.02	0.37	0.05	0.02	7.48E-06	-2.26E-06	0.082053895	7.56E-06	5.58E-06	-0.082047099	-0.369561637	0.047987761	-0.02379232	-0.369574354	-0.048023104	0.023792197	-0.101622231	0.055759811	-0.074909596	-0.101622424	-0.055760752	0.07489368	0.273342653	0.066207548	-0.095110946	0.273342644	-0.066173675	0.095095838
370	-0.30	0.18	-0.02	-0.30	-0.18	0.02	-0.27	0.15	-0.01	-0.27	-0.15	0.01	-0.15	0.11	0.00	-0.15	-0.11	0.00	-9.99E-06	1.61E-05	1.91E-02	-9.65E-06	-4.72E-07	-1.91E-02	0.14872221	-0.114226719	-0.00283721	0.148725575	0.114190868	0.00284165	0.270169212	-0.145899896	-0.012892668	0.270168936	0.145896531	0.012873563	0.297474324	-0.177318026	-0.016409487	0.297474255	0.177365293	0.016391347
630	0	-0.046	0	0	-0.072	0	0	0.028	0	0	0.027	0	0	0.043	0	0	0.04	0	0	-0.083	0	0	-0.079	0	0	0.039	0	0	0.042	0	0	0.026	0	0	0.029	0	0	-0.0644	0	0	-0.0618	0
710	0.34	-0.01	0.12	0.34	0.01	-0.12	-0.09	-0.01	0.07	-0.09	0.01	-0.07	-0.19	0.00	-0.04	-0.19	0.00	0.04	3.69E-01	-1.21E-02	-3.40E-08	3.69E-01	1.21E-02	2.06E-06	-0.191184755	0.001284208	0.044434121	-0.191203709	-0.001293585	-0.044422055	-0.088062311	-0.005372172	-0.073957014	-0.088062398	0.005373724	0.073973026	0.341595831	-0.011014762	-0.115394812	0.341595954	0.011008983	0.115412041
748	0.00	0.09	0.33	0.00	0.09	0.33	0.00	-0.03	0.30	0.00	-0.03	0.30	0.00	-0.04	0.18	0.00	-0.04	0.18	4.51E-03	1.19E-01	2.60E-06	-4.47E-03	1.19E-01	3.59E-06	0.003773566	-0.040779985	-0.176471981	-0.003788753	-0.040779202	-0.176486921	0.002286958	-0.029132774	-0.304318001	-0.002302637	-0.02913876	-0.304315161	0.00045315	0.087782511	-0.3299526	-0.000451769	0.087774094	-0.329947932
994	0	-0.029	0	0	-0.06	0	0	0.034	0	0	0.04	0	0	-0.009	0	0	-0.0165	0	0	-0.02	0	0	-0.016	0	0	0.018	0	0	0.011	0	0	-0.043	0	0	-0.041	0	0	0.0588	0	0	0.0528	0
1037	0	-0.017	0	0	0.011	0	0	-0.011	0	0	0.009	0	0	0.01	0	0	-0.01	0	0	0.031	0	0	-0.029	0	0	0.01	0	0	-0.008	0	0	-0.012	0	0	0.013	0	0	-0.0095	0	0	0.0143	0
1400	0	-0.015	0	0	-0.051	0	0	0.031	0	0	0.029	0	0	-0.027	0	0	-0.028	0	0	0.068	0	0	0.053	0	0	-0.033	0	0	-0.041	0	0	0.029	0	0	0.034	0	0	-0.0332	0	0	-0.0348	0
1480	0	-0.025	0	0	0.016	0	0	-0.006	0	0	0.007	0	0	0.04	0	0	-0.026	0	0	0.011	0	0	-0.005	0	0	-0.023	0	0	0.025	0	0	0.0097	0	0	-0.008	0	0	0.0118	0	0	-0.0267	0
1539	0.0469341129	-0.0187506452	-0.0656597838	0.717894733	-0.0337475128	-0.0969689488	-0.218535334	0.014293245	-0.0014109665	-0.244502947	0.0019244832	0.121877186	0.876137078	-0.0391278639	0.147368804	0.0938962698	-0.0102842106	-0.0555323251	-0.981217444	-0.0076644397	-0.0842173994	-0.624039769	0.0178953782	-0.0507344939	-0.0013024245	0.0803787857	0.0438750051	0.191441476	-0.0039631962	-0.0018119556	0.249587357	-0.0167472828	0.229781002	0.0743571296	-0.0053224424	0.0105136745	0.474980086	-0.0293607302	0.324600041	-0.0682890862	-0.0292196758	-0.122136869
