Frequencies [Hz]    Rail Acc TF [m/s^2/N]    TDR [dB/m]    Sound Presure [Pa]
869.352645202054    (-0.033619136332900125+0.01210829826974295j)    16.570202926381867    (-1.5330090614068826e-06+1.3294878198035934e-06j)
881.507741455866    (-0.0389778836423345+0.010982634847832993j)    18.18529796070834    (1.4306888772212197e-06+2.0516231138732133e-06j)
893.832787574964    (-0.04526060699132902+0.010617857947429785j)    19.645881574403184    (2.21596414862631e-06-1.5228619495511599e-06j)
906.330159760748    (-0.05215028805389735+0.01136058665898277j)    20.706187170567983    (-1.7527585266950683e-06-2.0353957222681147e-06j)
919.002267438137    (-0.06004398785062071+0.012948561027475977j)    21.50140253651303    (-1.4593510435034223e-06+2.101422963442917e-06j)
931.851553720097    (-0.06876510001840247+0.015884503418931176j)    21.965019837670845    (2.342634017901052e-06+4.5593599302908284e-07j)
944.88049587866    (-0.07877465405165934+0.020411444043026944j)    22.21092596888143    (-8.594456620803606e-07-2.022645784536274e-06j)
958.091605822525    (-0.09000061108191663+0.027564992933410602j)    22.20754368659035    (-7.316224637069506e-07+1.9039887227383847e-06j)
971.487430581342    (-0.10167995682932492+0.038267197134886174j)    21.86002539309954    (1.4567717914826862e-06-1.2455596774528722e-06j)
985.070552796768    (-0.1120817384204994+0.05262494167646435j)    21.03229316263241    (-1.4670318612422565e-06+9.867730578864234e-07j)
998.843591220383    (-0.12115938373429307+0.06957294448603622j)    19.81159062608419    (9.034974350779474e-07-1.303499669830376e-06j)
1012.80920121857    (-0.13379507809844415+0.08875194932073835j)    18.636344855492688    (4.084615454484109e-07+1.563507198870242e-06j)
1026.97007528447    (-0.1513089964904496+0.12079815182812233j)    17.587709774869115    (-2.26345929107664e-06-6.618438753403135e-07j)
1041.32894355703    (-0.16519534123933732+0.18289063474947548j)    16.53169931107121    (2.6462683194578466e-06-2.6463997840983226e-06j)
1055.88857434745    (-0.11849347957002719+0.2839641009974173j)    14.826009691258685    (3.0009794791668675e-06+5.02459425316036e-06j)
1070.6517746728    (0.03217790640188465+0.3209445660664665j)    13.22409019010355    (-4.4823406625883395e-06+3.5647208287507644e-06j)
1085.62139079727    (0.13159390205041063+0.21561709548015057j)    12.558426009256697    (-3.0112773778593597e-06-5.7315240897898274e-06j)
1100.80030878085    (0.12671692861973252+0.12417530211870535j)    11.849919506830052    (3.550201720601828e-06-6.83843486979751e-06j)
1116.19145503583    (0.089176112620603+0.07805373797528704j)    9.800529678956647    (6.014775166892105e-06-4.207032252929057e-06j)
1131.79779689091    (0.05754244318922951+0.06247333614110367j)    7.475768954967044    (3.983760412813641e-07-5.25388604635675e-06j)
1147.62234316334    (0.032736152073479824+0.06413431667071552j)    5.1220601362699005    (-9.52741841981776e-06+6.247209999488953e-06j)
1163.66814473899    (0.020145756248211803+0.07059414364714954j)    3.9741155407347737    (1.6593327372702984e-06+1.1952170869242299e-05j)
1179.93829516052    (0.012480338752001382+0.07842225126885795j)    3.3644553366649754    (7.203845070901514e-06-2.532462311163617e-06j)
1196.43593122385    (0.009817303862598218+0.08456229589322857j)    3.3662221626909306    (-6.011932706153249e-06+1.3940114252072814e-06j)
1213.16423358286    (0.00872759374194582+0.09004990510357312j)    3.541383400030229    (-5.4035320623675535e-06-9.805657562686103e-06j)
1230.12642736264    (0.0088210814180136+0.09570575362721663j)    3.9055398090383506    (1.636500696778776e-05+2.619691338249342e-07j)
1247.32578278126    (0.010285842337303537+0.10069307342797088j)    4.501968648123916    (5.4725670324280275e-06+5.9032304578793755e-06j)
1264.76561578026    (0.0128685708111737+0.10550217550574033j)    5.32844971109287    (2.5726148706606964e-06-1.3970992921166149e-05j)
1282.44928866395    (0.01659347883477043+0.10972118817115431j)    6.3915283669206655    (-2.0660097386415777e-05+1.3276172484621207e-06j)
1300.38021074761    (0.02027536259972971+0.11252467452814761j)    7.370009356907119    (2.346461829901548e-05+1.967517961587664e-05j)
1318.56183901483    (0.02253772088441339+0.11532303299177059j)    7.89639739095713    (-2.6148141767246974e-05-2.145079296011698e-05j)
1336.99767878397    (0.024292785780054175+0.12041188792279665j)    8.147477978684256    (2.2268086777563763e-05+4.909237214035907e-06j)
1355.69128438399    (0.02771047078002563+0.1286997211477738j)    8.543249031644017    (-1.7240996728915967e-05+1.6541856057193054e-06j)
1374.64625983968    (0.03505711690229763+0.13955043067844547j)    9.396511854775046    (1.3826444644462074e-05-4.0109429439657866e-06j)
1393.86625956649    (0.049179079737614345+0.15214804715560343j)    10.838013560043208    (-1.0630654045362215e-05+2.033885999967263e-06j)
1413.35498907514    (0.07410166094947575+0.16241632678170262j)    12.936408397254203    (6.118239177421345e-06-2.352627333043331e-06j)
1433.11620568595    (0.11218492282597912+0.15799442714868023j)    15.76677648535625    (-4.952066409362523e-06+1.201495941782256e-06j)
1453.15371925325    (0.14315355055788057+0.12611530867543827j)    18.714796351210513    (4.733569690878642e-06-2.423293432058436e-06j)
1473.47139289994    (0.14644641235211017+0.08610815219632105j)    20.90346165572678    (-1.8214851524514954e-06+5.695287580890911e-06j)
1494.07314376225    (0.13369392268791946+0.059792720925128974j)    21.938929637569384    (-4.145244724750346e-06-4.0254245545590404e-06j)
1514.9629437449    (0.11757142672720458+0.044722566726019694j)    22.111720694733382    (4.387660714848517e-06-2.9932832835487107e-06j)
1536.14482028695    (0.10215716362155407+0.03808139689452134j)    21.619204227378795    (2.9480096683997084e-06+3.842643501077294e-06j)
1557.6228571382    (0.08874750407468115+0.038446393602863005j)    20.72789089928215    (-2.603190726752274e-06+3.688799882588932e-06j)
1579.40119514654    (0.08114608413404094+0.044558239723268896j)    20.136662186712794    (-4.707540828479418e-06-1.710233024602008e-07j)
1601.48403305627    (0.08138495501532157+0.05051334069455681j)    20.210763349175974    (-4.46059196513945e-06-3.129042406358538e-06j)
1623.87562831761    (0.08575357526155077+0.05365640225529648j)    20.509861944231748    (-4.562031706159184e-06-4.4222686612211075e-06j)
1646.58029790751    (0.09464621271358452+0.051932210841942744j)    21.00864222934596    (-6.476944229624726e-06-3.6051548824353587e-06j)
1669.60241916193    (0.10134059129980963+0.04035738854221231j)    21.423057086366764    (-8.023823274039542e-06+1.531445448749467e-06j)
1692.94643061978    (0.09780169856595773+0.028053638479031546j)    21.2824754943631    (-2.6003900941896473e-06+7.639830520389465e-06j)
1716.61683287863    (0.09094590414128449+0.0208995634278952j)    20.74240859595173    (6.471627704175678e-06+3.892633609916507e-06j)
1740.61818946242    (0.08472466314324416+0.016937406301983714j)    20.06755114802245    (2.9776221616538124e-06-6.3895450226025475e-06j)
1764.95512770125    (0.07919421865537644+0.01447988075362599j)    19.314925502831287    (-6.626830702718724e-06+4.715559152478318e-08j)
1789.63233962355    (0.07446933302785737+0.012831118735857957j)    18.544216091359832    (4.579842243615742e-06+4.376878482011336e-06j)
1814.65458286065    (0.07024195303873382+0.011656878943672512j)    17.74535860467832    (-2.441806554105322e-06-5.655447119341288e-06j)
1840.026681564    (0.06638916041075989+0.010789595620962331j)    16.919287372237687    (2.3110106069050023e-06+5.648115963154056e-06j)
1865.75352733531    (0.06285165292791144+0.010159864404533593j)    16.073546773702606    (-4.264667602331515e-06-4.461145793020216e-06j)
1891.84008016955    (0.05955240803927969+0.009722522335939529j)    15.20652696090324    (6.370565441452809e-06+1.6901300802758507e-07j)
1918.29136941125    (0.05646114704101248+0.00943389460025701j)    14.323951999217929    (-2.5697534641667775e-06+6.184419432891143e-06j)
1945.11249472413    (0.053573121231835635+0.009237790053894784j)    13.437015333193136    (-6.726700511917837e-06-2.2644219821449953e-06j)
1972.30862707427    (0.05078394755282008+0.009043156266605326j)    12.520356114739165    (-1.3924617009739972e-06-7.360205307943581e-06j)
1999.88500972706    (0.04790776849503708+0.008888092582715031j)    11.516053926112805    (3.2440232102304987e-06-7.1090603313510406e-06j)
2027.84695925807    (0.044818945609209224+0.009014213293543004j)    10.386963275665796    (4.4843381877830245e-06-6.640608880516988e-06j)
2056.19986657804    (0.04152362475846894+0.009755920860624977j)    9.15304280608053    (2.402525421335876e-06-7.597429060883939e-06j)
2084.94919797223    (0.03856562275838074+0.01218408250292455j)    8.132569497375613    (-3.0547415603900813e-06-6.7836931998096995e-06j)
2114.1004961543    (0.03996016199092426+0.014847665099652454j)    8.930890651415297    (-6.691463153212171e-06-4.776198428853435e-07j)
2143.6593813349    (0.04031220934974787+0.01149341689648227j)    8.894610414846404    (-8.981764506415234e-07+6.601006050921657e-06j)
2173.63155230524    (0.03668773695623122+0.009818573676426185j)    7.346645095875301    (6.32084023534878e-06-2.020572721754807e-06j)
2204.02278753574    (0.03312857063871564+0.009870506472233457j)    5.894208485982698    (-6.126597048868282e-06-2.2226587739642134e-06j)
2234.83894629012    (0.029966507820974046+0.010671508564819108j)    4.672135188651662    (5.456083087013448e-06+3.336214531825279e-06j)
2266.08596975504    (0.027261691279821226+0.011918986576202956j)    3.727772210030728    (-6.262897015648315e-06-1.7456243364069591e-06j)
2297.76988218552    (0.02495426452544967+0.013345882543221638j)    3.0315503647501263    (5.559120059816513e-06-3.6310226279561707e-06j)
2329.89679206635    (0.022992804401877807+0.014832727894449506j)    2.543133249925546    (1.4215949967879462e-06+5.7399697918101365e-06j)
2362.47289328984    (0.021285915185975134+0.016340916256258654j)    2.2033740974252036    (-6.856020482772293e-06+1.9558228942962106e-06j)
2395.50446634992    (0.01978751606716417+0.017841101760430078j)    1.970907109131831    (-9.80395773654607e-06-2.2461020916572646e-06j)
2428.99787955297    (0.018442088731904234+0.019348359407748202j)    1.8113498955836238    (-5.4843544044354975e-06+2.6123834470077355e-08j)
2462.95959024565    (0.017222424609665502+0.02093792664949414j)    1.708788729452843    (-1.1235350842022843e-05+2.5388645440153394e-06j)
2497.3961460598    (0.016165960241112772+0.022731876661501376j)    1.666609965107614    (2.549381295592904e-06+4.816735933970031e-06j)
2532.31418617481    (0.015422433744969962+0.024988901017163175j)    1.713187353870528    (7.415303214414651e-07+1.148595127022255e-08j)
2567.72044259759    (0.015666187433442013+0.028292304408800914j)    1.9674903566121553    (2.16116513592048e-06+6.275169613715198e-07j)
2603.62174146049    (0.020361778120811264+0.03250336455509321j)    2.9261589859093933    (-5.323550384795166e-07-3.6065017551539984e-06j)
2640.02500433733    (0.031093084710153422+0.025229488508270285j)    4.647963782505659    (1.1572491195459258e-06+2.7189085860389783e-06j)
2676.93724957784    (0.024845060880288088+0.0143847675449739j)    3.3457739515050378    (-2.0076829295754044e-06-2.25917327912913e-06j)
2714.36559366077    (0.01750372994699764+0.012599225727075718j)    1.7381407266447464    (2.6155255936838764e-06-5.131906991832675e-07j)
2752.3172525659    (0.013074234592428392+0.012929770587695793j)    1.032420764618216    (-1.2698143143202595e-06+1.6052249896227414e-06j)
2790.79954316523    (0.010022117002067685+0.012554399585936618j)    0.7174096228104022    (-6.047884947124218e-06-1.6485546156497238e-06j)
2829.81988463366    (0.006475892099937511+0.011449667012716321j)    0.4634382551082574    (-1.042899394125906e-05-1.664093894790062e-06j)
2869.38579987934    (0.0019404045966576306+0.010142386998470627j)    0.2937346717537509    (-9.883893404068576e-06+8.085479466623632e-06j)
2909.50491699406    (-0.003739325610703999+0.00955587120087294j)    0.30121350257490703    (3.56928769515607e-06+8.8810393647203e-06j)
2950.1849707239    (-0.010091662195069427+0.009932978363521782j)    0.5691036136908126    (7.990619748251312e-06-3.7063224613752763e-06j)
2991.43380396045    (-0.017236756344111964+0.011323791484188482j)    1.1321532556651703    (-7.3941870246920384e-06-2.7964395924570756e-06j)
3033.25936925288    (-0.02578265697353311+0.014556893259524166j)    2.037589214294363    (5.7900337884758e-06+3.0648051276403395e-06j)
3075.66973034112    (-0.03596965721564939+0.023343148730951165j)    3.3082401252342977    (-4.031345133988587e-06+3.235745795266631e-07j)
3118.67306371056    (-0.03463219101451063+0.04468204449593255j)    4.175655586081384    (1.3425313595671328e-06+1.5051760359587742e-06j)
3162.27766016838    (-0.01419062579543113+0.043638520197527855j)    3.4814418056967673    (1.1773963942884395e-07+3.074788112686138e-06j)
