Real Part    |   Imag Part
9.269838604784671e-11  |  -6.1595801239966464e-12
1.0197411026205634e-10  |  -6.288176057196404e-12
1.1147087861383471e-10  |  -6.453126516678449e-12
1.2124770166309957e-10  |  -6.6569686960885255e-12
1.3136853218965916e-10  |  -6.903207435188787e-12
1.4190391739121538e-10  |  -7.1964677831811e-12
1.5293295250130305e-10  |  -7.542712027645535e-12
1.6454565334320655e-10  |  -7.949540125952325e-12
1.7684590313217404e-10  |  -8.426601643177684e-12
1.8995518449670748e-10  |  -8.986160704839882e-12
2.0401738989076123e-10  |  -9.643875639268338e-12
2.1920512620682475e-10  |  -1.0419886076614386e-11
2.35728115074294e-10  |  -1.1340349341361507e-11
2.538445765508143e-10  |  -1.2439647291302633e-11
2.7387693444444155e-10  |  -1.376361627500857e-11
2.9623390763873127e-10  |  -1.537437712664684e-11
3.214422537115167e-10  |  -1.7357736480589342e-11
3.501934811393777e-10  |  -1.9834848695387426e-11
3.8341446342257506e-10  |  -2.2981187275281153e-11
4.223775213236706e-10  |  -2.70585673397741e-11
4.6887825260158e-10  |  -3.2471577258720076e-11
5.255350359327599e-10  |  -3.98722256194578e-11
5.963190694204769e-10  |  -5.0366258194884464e-11
6.875501058605842e-10  |  -6.595163654698887e-11
8.099091160688435e-10  |  -9.054256909852647e-11
9.828948962525453e-10  |  -1.326719766149338e-10
1.2458875261733778e-09  |  -2.1390455786365733e-10
1.6895954677207182e-09  |  -4.02008741443242e-10
2.5504203904460744e-09  |  -9.987114429981637e-10
3.7214306021423687e-09  |  -4.193147813481562e-09
-3.620954890810586e-09  |  -4.613589854629189e-09
-2.5841059368310034e-09  |  -1.0538404071965556e-09
-1.6796374001276375e-09  |  -4.0940305446901686e-10
-1.2180725344754334e-09  |  -2.127747172820922e-10
-9.46805871801411e-10  |  -1.295893854747047e-10
-7.69393835839671e-10  |  -8.708543611638269e-11
-6.443980479676555e-10  |  -6.257124594630962e-11
-5.514626855350745e-10  |  -4.719390435817321e-11
-4.795030958750211e-10  |  -3.6935887326872944e-11
-4.2199019524656336e-10  |  -2.976428530850016e-11
-3.748356750676801e-10  |  -2.4562275264140217e-11
-3.35351484960991e-10  |  -2.067555124885444e-11
-3.016984002498026e-10  |  -1.7700444023135413e-11
-2.7257555474865683e-10  |  -1.5377115904074984e-11
-2.4703665608825303e-10  |  -1.3532277588432681e-11
-2.2437650626185265e-10  |  -1.2046840151764828e-11
-2.0405836649258842e-10  |  -1.0836835193849544e-11
-1.8566599839836576e-10  |  -9.841733721296015e-12
-1.688711267491553e-10  |  -9.017060423897591e-12
-1.5341082876273293e-10  |  -8.329590622410185e-12
-1.390714806249551e-10  |  -7.754148666707124e-12
